FY,Date,"Fixed Volume
Energia kwh","Floating Volume
Energia kwh","TRADES
Electric Ire kwh","DAY AHEAD
Electric Ire kwh","IMBALANCE
Electric Ire kwh",Total Gas Used [kWh]
21,Mar-21," 3,502,349 "," 50,201 ", -   , -   , -   ," 3,552,550 "
21,Apr-21," 3,516,870 ","-511,642 ", -   , -   , -   ," 3,005,228 "
21,May-21," 3,543,238 "," 136,130 ", -   , -   , -   ," 3,679,368 "
21,Jun-21," 3,516,870 "," 7,054 ", -   , -   , -   ," 3,523,924 "
21,Jul-21," 3,543,238 ","-584,012 ", -   , -   , -   ," 2,959,226 "
21,Aug-21," 3,543,238 ","-638,295 ", -   , -   , -   ," 2,904,943 "
21,Sep-21," 3,569,610 ","-413,236 ", -   , -   , -   ," 3,156,374 "
22,Oct-21," 3,569,557 "," 136,245 ", -   , -   , -   ," 3,705,802 "
22,Nov-21," 3,542,340 ","-66,828 ", -   , -   , -   ," 3,475,512 "
22,Dec-21," 3,569,557 ","-933,398 ", -   , -   , -   ," 2,636,159 "
22,Jan-22," 3,569,557 ","-830,486 ", -   , -   , -   ," 2,739,071 "
22,Feb-22," 3,552,360 ","-622,850 ", -   , -   , -   ," 2,929,510 "
22,Mar-22," 3,569,557 ","-1,743,177 ", -   , -   , -   ," 1,826,380 "
22,Apr-22," 3,516,870 ","-806,641 ", -   , -   , -   ," 2,710,229 "
22,May-22," 3,543,238 "," 2,319 ", -   , -   , -   ," 3,545,557 "
22,Jun-22," 3,516,870 "," 35,517 ", -   , -   , -   ," 3,552,387 "
22,Jul-22," 3,543,238 ","-212,228 ", -   , -   , -   ," 3,331,010 "
22,Aug-22," 3,543,238 ","-505,016 ", -   , -   , -   ," 3,038,222 "
22,Sep-22," 3,516,870 ","-950,603 ", -   , -   , -   ," 2,566,267 "
23,Oct-22," 4,023,831 ","-286,840 ", -   , -   , -   ," 3,736,991 "
23,Nov-22," 2,637,630 "," 1,032,878 ", -   , -   , -   ," 3,670,508 "
23,Dec-22," 3,452,377 ","-260,398 ", -   , -   , -   ," 3,191,979 "
23,Jan-23," 3,634,068 ","-1,497,717 ", -   , -   , -   ," 2,136,351 "
23,Feb-23," 3,856,804 ","-1,695,495 ", -   , -   , -   ," 2,161,309 "
23,Mar-23," 4,088,342 ","-2,756,586 ", -   , -   , -   ," 1,331,756 "
23,Apr-23," 3,956,460 ","-2,402,840 ", -   , -   , -   ," 1,553,620 "
23,May-23," 4,088,342 ","-546,957 ", -   , -   , -   ," 3,541,385 "
23,Jun-23," 3,956,460 ","-671,420 ", -   , -   , -   ," 3,285,040 "
23,Jul-23," 3,634,068 ","-120,915 ", -   , -   , -   ," 3,513,153 "
23,Aug-23," 3,634,068 ","-63,665 ", -   , -   , -   ," 3,570,403 "
23,Sep-23," 3,516,840 ","-5,422 ", -   , -   , -   ," 3,511,418 "
24,Oct-23, -   , -   ," 1,271,928 "," 2,484,174 ","-397,894 "," 3,358,208 "
24,Nov-23, -   , -   ," 2,022,190 "," 1,747,799 ","-171,298 "," 3,598,691 "
24,Dec-23, -   , -   ," 2,907,264 "," 990,123 ","-653,210 "," 3,244,177 "
24,Jan-24, -   , -   ," 635,964 "," 1,899,574 "," 1,580,422 "," 4,115,960 "
24,Feb-24, -   , -   ," 594,934 "," 1,996,296 ","-247,184 "," 2,344,046 "
24,Mar-24, -   , -   ," 1,090,224 "," 248,014 "," 1,687,975 "," 3,026,213 "
,,,,,,,
,,,,,,,
